epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.896632969379425,4.999999873689376e-05,0.411174476146698,0.8687845468521118,0.437608927488327
1,0.9639730453491211,4.999999873689376e-05,0.14131265878677368,0.8839778900146484,0.38169270753860474
2,0.982154905796051,4.999999873689376e-05,0.07907268404960632,0.8950276374816895,0.3388141393661499
3,0.9905723929405212,4.999999873689376e-05,0.049687739461660385,0.9046961069107056,0.3185877799987793
4,0.9912458062171936,4.999999873689376e-05,0.035715796053409576,0.9171270728111267,0.2985711395740509
5,0.9946128129959106,4.999999873689376e-05,0.029095623642206192,0.9185082912445068,0.28542765974998474
6,0.9932659864425659,4.999999873689376e-05,0.029600154608488083,0.9240331649780273,0.2708227336406708
7,0.9959595799446106,4.999999873689376e-05,0.020908692851662636,0.9309391975402832,0.2622630000114441
8,0.9956228733062744,4.999999873689376e-05,0.018013250082731247,0.9281768202781677,0.2653067111968994
9,0.9952861666679382,4.999999873689376e-05,0.019183708354830742,0.9323204159736633,0.26440683007240295
10,0.9952861666679382,4.999999873689376e-05,0.01748945377767086,0.9337016344070435,0.2504481375217438
11,0.9959595799446106,4.999999873689376e-05,0.013012457638978958,0.9350828528404236,0.2374870926141739
12,0.9959595799446106,4.999999873689376e-05,0.013852057978510857,0.939226508140564,0.22976958751678467
13,0.9962962865829468,4.999999873689376e-05,0.013806638307869434,0.9419889450073242,0.2188020944595337
14,0.996632993221283,4.999999873689376e-05,0.012869392521679401,0.9419889450073242,0.21480907499790192
15,0.996632993221283,4.999999873689376e-05,0.011506560258567333,0.939226508140564,0.21471837162971497
16,0.9969696998596191,4.999999873689376e-05,0.009871887043118477,0.9419889450073242,0.20912912487983704
17,0.996632993221283,4.999999873689376e-05,0.008291255682706833,0.9461326003074646,0.20531295239925385
18,0.9969696998596191,4.999999873689376e-05,0.008573370054364204,0.950276255607605,0.19549407064914703
19,0.996632993221283,4.999999873689376e-05,0.009986256249248981,0.950276255607605,0.18776418268680573
20,0.9956228733062744,4.999999873689376e-05,0.009852682240307331,0.9433701634407043,0.1886962503194809
21,0.9962962865829468,4.999999873689376e-05,0.008503945544362068,0.9447513818740845,0.18682798743247986
22,0.9962962865829468,4.999999873689376e-05,0.008752040565013885,0.9447513818740845,0.18432371318340302
23,0.9969696998596191,4.999999873689376e-05,0.007618417963385582,0.9419889450073242,0.18082945048809052
24,0.996632993221283,4.999999873689376e-05,0.006883260793983936,0.9447513818740845,0.18825876712799072
25,0.996632993221283,4.999999873689376e-05,0.007049286272376776,0.9475138187408447,0.19099868834018707
26,0.9962962865829468,4.999999873689376e-05,0.008100392296910286,0.9447513818740845,0.18719273805618286
27,0.9969696998596191,2.499999936844688e-05,0.007063223980367184,0.9461326003074646,0.19050724804401398
28,0.9962962865829468,2.499999936844688e-05,0.007278554607182741,0.950276255607605,0.19426792860031128
29,0.9969696998596191,2.499999936844688e-05,0.00665691401809454,0.9516574740409851,0.192871555685997
