epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5424242615699768,4.999999873689376e-05,1.6085654497146606,0.36602210998535156,1.9385544061660767
1,0.8430976271629333,4.999999873689376e-05,0.624359667301178,0.39502763748168945,1.9293811321258545
2,0.909764289855957,4.999999873689376e-05,0.34876465797424316,0.4019336998462677,1.9248507022857666
3,0.941077470779419,4.999999873689376e-05,0.2306140661239624,0.4212707281112671,1.9482401609420776
4,0.9602693319320679,4.999999873689376e-05,0.16358447074890137,0.4212707281112671,1.9580882787704468
5,0.967003345489502,4.999999873689376e-05,0.12137729674577713,0.44337016344070435,1.966902732849121
6,0.9774410724639893,2.499999936844688e-05,0.09009658545255661,0.4475138187408447,1.9516805410385132
7,0.9818181991577148,2.499999936844688e-05,0.07907281070947647,0.4792817533016205,1.9414758682250977
8,0.9831649661064148,2.499999936844688e-05,0.06984516978263855,0.5096685290336609,1.9113749265670776
9,0.9872053861618042,2.499999936844688e-05,0.059086382389068604,0.5593922734260559,1.842952847480774
10,0.9845117926597595,2.499999936844688e-05,0.05912969261407852,0.5980662703514099,1.753129482269287
11,0.9898989796638489,2.499999936844688e-05,0.0458051860332489,0.658839762210846,1.6072192192077637
12,0.9892255663871765,2.499999936844688e-05,0.04457505792379379,0.7251381278038025,1.4461604356765747
13,0.9872053861618042,2.499999936844688e-05,0.04598142206668854,0.7941988706588745,1.24642014503479
14,0.9912458062171936,2.499999936844688e-05,0.038234811276197433,0.8397790193557739,1.0368967056274414
15,0.9888888597488403,2.499999936844688e-05,0.04192279651761055,0.8825966715812683,0.8670880794525146
16,0.9912458062171936,2.499999936844688e-05,0.040066201239824295,0.9102209806442261,0.6701577305793762
17,0.9925925731658936,2.499999936844688e-05,0.03413352742791176,0.9254143834114075,0.5252026319503784
18,0.9915825128555298,2.499999936844688e-05,0.032696742564439774,0.9378452897071838,0.4362930655479431
19,0.9929292798042297,2.499999936844688e-05,0.026730747893452644,0.9433701634407043,0.3439182639122009
20,0.9932659864425659,2.499999936844688e-05,0.029180089011788368,0.9447513818740845,0.3020407259464264
21,0.9925925731658936,2.499999936844688e-05,0.02839907445013523,0.9461326003074646,0.25037989020347595
22,0.9939393997192383,2.499999936844688e-05,0.025498688220977783,0.9516574740409851,0.22068291902542114
23,0.9949495196342468,2.499999936844688e-05,0.02361297607421875,0.9571823477745056,0.19929614663124084
24,0.996632993221283,2.499999936844688e-05,0.01625031977891922,0.9544199109077454,0.1867361068725586
25,0.9973064064979553,2.499999936844688e-05,0.015888983383774757,0.9530386924743652,0.17245228588581085
26,0.9946128129959106,2.499999936844688e-05,0.02058967389166355,0.9530386924743652,0.15556347370147705
27,0.9959595799446106,2.499999936844688e-05,0.01747901923954487,0.9558011293411255,0.15079426765441895
28,0.9959595799446106,2.499999936844688e-05,0.019295182079076767,0.9599447250366211,0.14703162014484406
29,0.9962962865829468,2.499999936844688e-05,0.016575433313846588,0.9571823477745056,0.1472664326429367
